filename,w,h,class,xmin,ymin,xmax,ymax
apple_1000.jpg,400,400,apple,174,21,299,148
apple_1000.jpg,400,400,apple,211,121,322,261
apple_1000.jpg,400,400,apple,106,200,220,321
apple_1001.jpg,400,400,apple,172,122,259,238
apple_1001.jpg,400,400,apple,71,141,188,280
apple_1002.jpg,400,400,apple,170,140,278,287
apple_1002.jpg,400,400,apple,185,74,265,172
apple_1002.jpg,400,400,apple,90,74,190,206
apple_1003.jpg,400,400,apple,179,93,249,172
apple_1003.jpg,400,400,apple,168,151,249,251
apple_1003.jpg,400,400,apple,107,94,192,196
apple_1004.jpg,400,400,apple,185,97,256,192
apple_1004.jpg,400,400,apple,160,146,236,257
apple_1004.jpg,400,400,apple,124,94,202,191
apple_1005.jpg,400,400,apple,206,38,280,145
apple_1005.jpg,400,400,apple,170,66,261,197
apple_1005.jpg,400,400,apple,129,30,211,136
apple_1006.jpg,400,400,apple,182,88,247,176
apple_1006.jpg,400,400,apple,173,161,242,253
apple_1006.jpg,400,400,apple,125,82,194,182
apple_1007.jpg,400,400,apple,196,41,301,185
apple_1007.jpg,400,400,apple,213,119,353,303
apple_1007.jpg,400,400,apple,78,47,214,213
apple_1008.jpg,400,400,apple,187,75,272,202
apple_1008.jpg,400,400,apple,213,134,336,302
apple_1008.jpg,400,400,apple,77,79,205,233
apple_1009.jpg,400,400,apple,187,140,247,235
apple_1009.jpg,400,400,apple,197,201,282,316
apple_1009.jpg,400,400,apple,106,157,199,262
apple_1010.jpg,400,400,apple,168,107,233,196
apple_1010.jpg,400,400,apple,183,182,258,274
apple_1010.jpg,400,400,apple,111,145,183,232
apple_1011.jpg,400,400,apple,177,140,240,227
apple_1011.jpg,400,400,apple,191,181,266,285
apple_1011.jpg,400,400,apple,114,141,187,238
apple_1012.jpg,400,400,apple,195,97,251,170
apple_1012.jpg,400,400,apple,169,79,216,146
apple_1012.jpg,400,400,apple,129,91,191,169
apple_1013.jpg,400,400,apple,204,133,254,209
apple_1013.jpg,400,400,apple,174,121,217,186
apple_1013.jpg,400,400,apple,129,131,190,204
apple_1014.jpg,400,400,apple,103,115,185,218
apple_1014.jpg,400,400,apple,208,120,277,216
apple_1014.jpg,400,400,apple,167,113,215,190
apple_1015.jpg,400,400,apple,192,150,254,238
apple_1015.jpg,400,400,apple,235,173,324,289
apple_1015.jpg,400,400,apple,50,129,135,222
apple_1016.jpg,400,400,apple,134,113,196,181
apple_1016.jpg,400,400,apple,204,152,272,204
apple_1016.jpg,400,400,apple,193,182,267,283
apple_1017.jpg,400,400,apple,267,160,341,253
apple_1017.jpg,400,400,apple,180,111,240,190
apple_1017.jpg,400,400,apple,77,142,150,232
apple_1018.jpg,400,400,apple,87,159,156,250
apple_1018.jpg,400,400,apple,182,88,242,168
apple_1018.jpg,400,400,apple,261,183,334,268
apple_1019.jpg,400,400,apple,280,137,358,232
apple_1019.jpg,400,400,apple,218,97,277,179
apple_1019.jpg,400,400,apple,109,113,179,192
apple_1020.jpg,400,400,apple,94,133,174,241
apple_1020.jpg,400,400,apple,183,157,272,269
apple_1020.jpg,400,400,apple,211,103,282,189
apple_1021.jpg,400,400,apple,187,30,285,152
apple_1021.jpg,400,400,apple,203,214,298,336
apple_1021.jpg,400,400,apple,83,216,187,340
apple_1022.jpg,400,400,apple,56,160,169,330
apple_1022.jpg,400,400,apple,202,180,319,335
apple_1022.jpg,400,400,apple,194,54,295,172
apple_1023.jpg,400,400,apple,194,98,263,187
apple_1023.jpg,400,400,apple,176,171,254,276
apple_1023.jpg,400,400,apple,89,145,165,250
apple_1024.jpg,400,400,apple,172,78,244,165
apple_1024.jpg,400,400,apple,173,160,251,255
apple_1024.jpg,400,400,apple,93,148,168,247
apple_107.jpg,400,400,apple,10,96,215,316
apple_107.jpg,400,400,apple,166,144,389,328
apple_107.jpg,400,400,apple,183,71,388,222
apple_109.jpg,400,400,apple,29,43,233,340
apple_109.jpg,400,400,apple,161,101,379,373
apple_111.jpg,400,400,apple,114,65,209,218
apple_111.jpg,400,400,apple,28,67,118,209
apple_111.jpg,400,400,apple,1,1,70,83
apple_111.jpg,400,400,apple,76,1,164,92
apple_111.jpg,400,400,apple,157,1,249,82
apple_111.jpg,400,400,apple,252,1,340,82
apple_111.jpg,400,400,apple,200,70,285,213
apple_111.jpg,400,400,apple,280,70,382,209
apple_111.jpg,400,400,apple,244,177,326,227
apple_111.jpg,400,400,apple,232,203,333,350
apple_111.jpg,400,400,apple,323,218,400,344
apple_111.jpg,400,400,apple,340,1,400,100
apple_111.jpg,400,400,apple,61,191,153,328
apple_111.jpg,400,400,apple,1,195,65,330
apple_111.jpg,400,400,apple,5,323,100,400
apple_111.jpg,400,400,apple,96,323,185,400
apple_111.jpg,400,400,apple,185,335,297,400
apple_111.jpg,400,400,apple,151,198,247,340
apple_111.jpg,400,400,apple,294,338,381,400
apple_111.jpg,400,400,apple,381,321,400,400
apple_111.jpg,400,400,apple,1,89,30,200
apple_111.jpg,400,400,apple,164,174,244,233
apple_111.jpg,400,400,apple,1,172,77,238
apple_111.jpg,400,400,apple,98,169,129,206
apple_112.jpg,400,400,apple,34,4,294,241
apple_112.jpg,400,400,apple,102,114,400,394
apple_113.jpg,400,400,apple,100,64,254,184
apple_113.jpg,400,400,apple,58,170,191,294
apple_113.jpg,400,400,apple,181,147,340,293
apple_114.jpg,400,400,apple,63,107,343,364
apple_115.jpg,400,400,apple,47,70,353,355
apple_116.jpg,400,400,apple,208,44,333,173
apple_116.jpg,400,400,apple,280,120,362,221
apple_116.jpg,400,400,apple,224,157,339,305
apple_116.jpg,400,400,apple,146,107,243,228
apple_116.jpg,400,400,apple,138,213,249,339
apple_116.jpg,400,400,apple,31,166,142,322
apple_116.jpg,400,400,apple,71,90,172,217
apple_117.jpg,400,400,apple,172,83,263,217
apple_117.jpg,400,400,apple,118,107,191,231
apple_117.jpg,400,400,apple,64,98,138,207
apple_117.jpg,400,400,apple,8,48,83,161
apple_117.jpg,400,400,apple,1,112,37,226
apple_117.jpg,400,400,apple,8,157,99,281
apple_117.jpg,400,400,apple,1,231,40,329
apple_117.jpg,400,400,apple,62,212,146,336
apple_117.jpg,400,400,apple,134,218,211,333
apple_117.jpg,400,400,apple,106,321,195,400
apple_117.jpg,400,400,apple,36,314,109,400
apple_117.jpg,400,400,apple,1,326,40,400
apple_117.jpg,400,400,apple,1,1,56,81
apple_117.jpg,400,400,apple,16,1,92,37
apple_117.jpg,400,400,apple,94,1,155,29
apple_117.jpg,400,400,apple,62,7,127,95
apple_117.jpg,400,400,apple,121,6,200,101
apple_117.jpg,400,400,apple,191,3,275,105
apple_117.jpg,400,400,apple,272,4,368,112
apple_117.jpg,400,400,apple,349,1,400,46
apple_117.jpg,400,400,apple,361,40,400,122
apple_117.jpg,400,400,apple,242,84,318,219
apple_117.jpg,400,400,apple,314,98,389,211
apple_117.jpg,400,400,apple,380,155,400,245
apple_117.jpg,400,400,apple,317,199,396,323
apple_117.jpg,400,400,apple,328,299,400,398
apple_117.jpg,400,400,apple,282,204,334,326
apple_117.jpg,400,400,apple,226,245,302,370
apple_117.jpg,400,400,apple,202,197,274,301
apple_117.jpg,400,400,apple,173,303,248,399
apple_117.jpg,400,400,apple,253,329,331,400
apple_117.jpg,400,400,apple,102,76,152,137
apple_118.jpg,400,400,apple,30,56,365,370
apple_119.jpg,400,400,apple,109,97,199,184
apple_119.jpg,400,400,apple,62,64,142,139
apple_119.jpg,400,400,apple,1,37,75,107
apple_119.jpg,400,400,apple,8,107,81,173
apple_119.jpg,400,400,apple,59,134,124,207
apple_119.jpg,400,400,apple,187,109,275,187
apple_119.jpg,400,400,apple,153,167,248,255
apple_119.jpg,400,400,apple,1,248,85,325
apple_119.jpg,400,400,apple,269,262,334,331
apple_119.jpg,400,400,apple,331,262,400,344
apple_119.jpg,400,400,apple,246,237,284,290
apple_119.jpg,400,400,apple,198,246,255,296
apple_120.jpg,400,400,apple,36,134,196,316
apple_120.jpg,400,400,apple,138,96,306,255
apple_120.jpg,400,400,apple,186,135,369,319
apple_121.jpg,400,400,apple,114,77,213,238
apple_121.jpg,400,400,apple,37,124,119,250
apple_121.jpg,400,400,apple,72,215,173,378
apple_121.jpg,400,400,apple,142,301,204,377
apple_121.jpg,400,400,apple,163,191,263,324
apple_121.jpg,400,400,apple,277,89,382,243
apple_121.jpg,400,400,apple,199,155,248,214
apple_121.jpg,400,400,apple,168,18,263,177
apple_121.jpg,400,400,apple,155,15,206,85
apple_121.jpg,400,400,apple,101,40,165,87
apple_122.jpg,400,400,apple,124,37,301,200
apple_122.jpg,400,400,apple,113,187,304,360
apple_122.jpg,400,400,apple,27,168,165,331
apple_122.jpg,400,400,apple,247,162,382,332
apple_123.jpg,400,400,apple,58,61,227,400
apple_123.jpg,400,400,apple,164,1,321,272
apple_123.jpg,400,400,apple,294,1,377,140
apple_124.jpg,400,400,apple,1,31,360,361
apple_125.jpg,400,400,apple,5,11,262,360
apple_125.jpg,400,400,apple,210,23,400,340
apple_126.jpg,400,400,apple,53,41,353,365
apple_127.jpg,400,400,apple,95,101,213,204
apple_127.jpg,400,400,apple,49,186,150,297
apple_127.jpg,400,400,apple,143,188,251,306
apple_127.jpg,400,400,apple,246,181,356,305
apple_127.jpg,400,400,apple,187,152,277,272
apple_128.jpg,400,400,apple,140,128,308,348
apple_129.jpg,400,400,apple,102,43,230,229
apple_129.jpg,400,400,apple,140,1,268,100
apple_129.jpg,400,400,apple,19,1,144,116
apple_129.jpg,400,400,apple,1,64,89,244
apple_129.jpg,400,400,apple,1,1,33,72
apple_129.jpg,400,400,apple,1,218,41,394
apple_129.jpg,400,400,apple,33,182,175,391
apple_129.jpg,400,400,apple,133,296,277,400
apple_129.jpg,400,400,apple,277,291,400,400
apple_129.jpg,400,400,apple,322,113,400,303
apple_129.jpg,400,400,apple,198,142,333,325
apple_129.jpg,400,400,apple,235,1,376,161
apple_129.jpg,400,400,apple,367,1,400,121
apple_129.jpg,400,400,apple,16,360,121,400
apple_130.jpg,400,400,apple,18,15,376,383
apple_130.jpg,400,400,apple,1,297,248,400
apple_130.jpg,400,400,apple,255,196,400,400
apple_131.jpg,400,400,apple,198,126,360,304
apple_131.jpg,400,400,apple,35,136,217,314
apple_131.jpg,400,400,apple,98,103,236,184
apple_132.jpg,400,400,apple,102,139,208,226
apple_132.jpg,400,400,apple,97,220,179,302
apple_132.jpg,400,400,apple,130,264,271,353
apple_132.jpg,400,400,apple,262,182,379,260
apple_132.jpg,400,400,apple,241,243,343,317
apple_132.jpg,400,400,apple,341,229,400,305
apple_132.jpg,400,400,apple,307,296,391,373
apple_132.jpg,400,400,apple,353,312,400,400
apple_132.jpg,400,400,apple,236,319,322,391
apple_132.jpg,400,400,apple,234,387,301,400
apple_132.jpg,400,400,apple,148,342,247,400
apple_132.jpg,400,400,apple,80,312,153,377
apple_132.jpg,400,400,apple,73,379,162,400
apple_132.jpg,400,400,apple,1,302,80,393
apple_132.jpg,400,400,apple,18,250,108,321
apple_132.jpg,400,400,apple,43,189,133,255
apple_132.jpg,400,400,apple,204,132,285,190
apple_132.jpg,400,400,apple,164,199,267,273
apple_132.jpg,400,400,apple,376,159,400,209
apple_132.jpg,400,400,apple,358,146,399,184
apple_132.jpg,400,400,apple,276,118,362,185
apple_132.jpg,400,400,apple,194,71,294,146
apple_132.jpg,400,400,apple,199,23,288,82
apple_132.jpg,400,400,apple,161,43,207,101
apple_132.jpg,400,400,apple,113,85,174,141
apple_132.jpg,400,400,apple,133,103,203,157
apple_132.jpg,400,400,apple,281,52,384,129
apple_132.jpg,400,400,apple,361,72,400,140
apple_132.jpg,400,400,apple,272,3,357,68
apple_132.jpg,400,400,apple,218,1,280,26
apple_132.jpg,400,400,apple,132,1,219,49
apple_132.jpg,400,400,apple,79,34,161,94
apple_132.jpg,400,400,apple,63,4,131,50
apple_132.jpg,400,400,apple,17,7,66,42
apple_132.jpg,400,400,apple,1,4,28,50
apple_132.jpg,400,400,apple,1,31,69,84
apple_132.jpg,400,400,apple,43,68,104,123
apple_132.jpg,400,400,apple,1,80,56,140
apple_132.jpg,400,400,apple,1,142,31,216
apple_132.jpg,400,400,apple,1,208,52,272
apple_132.jpg,400,400,apple,23,125,116,199
apple_132.jpg,400,400,apple,345,1,400,52
apple_133.jpg,400,400,apple,141,18,282,215
apple_133.jpg,400,400,apple,40,183,165,375
apple_133.jpg,400,400,apple,165,190,307,380
apple_133.jpg,400,400,apple,263,148,380,338
apple_134.jpg,400,400,apple,91,19,317,374
apple_135.jpg,400,400,apple,37,16,385,381
apple_136.jpg,400,400,apple,28,101,197,268
apple_136.jpg,400,400,apple,85,128,280,324
apple_136.jpg,400,400,apple,207,82,383,268
apple_137.jpg,400,400,apple,274,31,386,134
apple_137.jpg,400,400,apple,353,73,400,163
apple_137.jpg,400,400,apple,336,145,379,191
apple_137.jpg,400,400,apple,361,163,400,264
apple_137.jpg,400,400,apple,295,170,389,275
apple_137.jpg,400,400,apple,379,259,400,343
apple_137.jpg,400,400,apple,316,262,393,344
apple_137.jpg,400,400,apple,269,282,378,391
apple_137.jpg,400,400,apple,342,342,400,400
apple_137.jpg,400,400,apple,226,373,325,400
apple_137.jpg,400,400,apple,169,280,279,388
apple_137.jpg,400,400,apple,124,348,222,400
apple_137.jpg,400,400,apple,57,285,158,392
apple_137.jpg,400,400,apple,40,382,122,400
apple_137.jpg,400,400,apple,1,353,32,400
apple_137.jpg,400,400,apple,1,280,29,358
apple_137.jpg,400,400,apple,1,196,87,292
apple_137.jpg,400,400,apple,33,264,124,357
apple_137.jpg,400,400,apple,56,145,152,254
apple_137.jpg,400,400,apple,1,170,28,213
apple_137.jpg,400,400,apple,1,91,86,193
apple_137.jpg,400,400,apple,1,26,37,105
apple_137.jpg,400,400,apple,2,1,111,94
apple_137.jpg,400,400,apple,91,1,159,42
apple_137.jpg,400,400,apple,116,2,188,96
apple_137.jpg,400,400,apple,163,1,258,90
apple_137.jpg,400,400,apple,159,88,260,179
